,title,img_url,author,date,genre,link
0,Seasonal Fears (Middlegame #2),https://www.risingshadow.net//libdb/images/books/thumbs/62037.jpg,Seanan McGuire,"May 3, 2022",fantasy,https://www.risingshadow.net/library/book/62037-seasonal-fears
1,Heroic Hearts,https://www.risingshadow.net//libdb/images/books/thumbs/63572.jpg,"Jim Butcher, Kerrie L. Hughes","May 3, 2022","fantasy > urban fantasy, collection, short stories",https://www.risingshadow.net/library/book/63572-heroic-hearts
2,Tantalus Depths,https://www.risingshadow.net//libdb/images/books/thumbs/58039.jpg,Evan Graham,"May 10, 2022",science fiction,https://www.risingshadow.net/library/book/58039-tantalus-depths
3,Dark Stars: New Tales of Darkest Horror,https://www.risingshadow.net//libdb/images/books/thumbs/62711.jpg,John F. D. Taff,"May 10, 2022","horror, anthology",https://www.risingshadow.net/library/book/62711-dark-stars-new-tales-of-darkest-horror
4,Every Bird a Prince,https://www.risingshadow.net//libdb/images/books/thumbs/63057.jpg,Jenn Reese,"May 10, 2022","fantasy, young adult",https://www.risingshadow.net/library/book/63057-every-bird-a-prince
5,Herrick's End (The Neath Trilogy #1),https://www.risingshadow.net//libdb/images/books/thumbs/63518.jpg,T. M. Blanchet,"May 10, 2022","fantasy, young adult",https://www.risingshadow.net/library/book/63518-herricks-end
6,Reborn,https://www.risingshadow.net//libdb/images/books/thumbs/57995.jpg,Sarah Lotz,"May 12, 2022","science fiction, fantasy",https://www.risingshadow.net/library/book/57995-reborn
7,Momenticon,https://www.risingshadow.net//libdb/images/books/thumbs/63277.jpg,Andrew Caldecott,"May 12, 2022","science fiction, fantasy",https://www.risingshadow.net/library/book/63277-momenticon
8,All the Seas of the World,https://www.risingshadow.net//libdb/images/books/thumbs/63260.jpg,Guy Gavriel Kay,"May 17, 2022",fantasy,https://www.risingshadow.net/library/book/63260-all-the-seas-of-the-world
9,The Windscale Incident,https://www.risingshadow.net//libdb/images/books/thumbs/57608.jpg,Paul Kearney,"May 19, 2022","science fiction, alternate history",https://www.risingshadow.net/library/book/57608-the-windscale-incident
10,The Stardust Thief (The Stardust Thief #1),https://www.risingshadow.net//libdb/images/books/thumbs/63378.jpg,Chelsea Abdullah,"May 19, 2022",fantasy,https://www.risingshadow.net/library/book/63378-the-stardust-thief
11,The Legend of Black Jack,https://www.risingshadow.net//libdb/images/books/thumbs/63515.jpg,A. R. Witham,"May 20, 2022",fantasy,https://www.risingshadow.net/library/book/63515-the-legend-of-black-jack
12,Second Spear (The Border Keeper #2),https://www.risingshadow.net//libdb/images/books/thumbs/59949.jpg,Kerstin Hall,"May 24, 2022",fantasy,https://www.risingshadow.net/library/book/59949-second-spear
13,The Origin of Storms (The Lotus Kingdoms #3),https://www.risingshadow.net//libdb/images/books/thumbs/61895.jpg,Elizabeth Bear,"May 24, 2022",fantasy > high fantasy,https://www.risingshadow.net/library/book/61895-the-origin-of-storms
14,Realms of the Deathless (The High and Faraway #3),https://www.risingshadow.net//libdb/images/books/thumbs/default.jpg,Greg Keyes,"May 31, 2022",fantasy,https://www.risingshadow.net/library/book/62926-realms-of-the-deathless
15,A Game of Retribution (Hades Saga #2),https://www.risingshadow.net//libdb/images/books/thumbs/63317.jpg,Scarlett St. Clair,"May 31, 2022","fantasy, romance",https://www.risingshadow.net/library/book/63317-a-game-of-retribution
16,Extinction Burst,https://www.risingshadow.net//libdb/images/books/thumbs/default.jpg,Megan E. O'Keefe,May 2022,science fiction,https://www.risingshadow.net/library/book/63275-extinction-burst
17,A Touch of Chaos (Hades & Persephone #4),https://www.risingshadow.net//libdb/images/books/thumbs/63319.jpg,Scarlett St. Clair,May 2022,"fantasy, romance",https://www.risingshadow.net/library/book/63319-a-touch-of-chaos
18,"Boys, Beasts, & Men",https://www.risingshadow.net//libdb/images/books/thumbs/63483.jpg,Sam J. Miller,May 2022,"science fiction, fantasy, short stories",https://www.risingshadow.net/library/book/63483-boys-beasts-and-men
19,Relic and Ruin (Born from Chaos Saga #1),https://www.risingshadow.net//libdb/images/books/thumbs/63524.jpg,Wendii McIver,"June 7, 2022","fantasy > high fantasy, young adult",https://www.risingshadow.net/library/book/63524-relic-and-ruin
20,Farilane (The Rise and Fall #2),https://www.risingshadow.net//libdb/images/books/thumbs/59887.jpg,Michael J. Sullivan,"June 7, 2022",fantasy > high fantasy,https://www.risingshadow.net/library/book/59887-farilane
21,The Queen's Assassin (Blood and Fire #2),https://www.risingshadow.net//libdb/images/books/thumbs/53813.jpg,James Barclay,"June 9, 2022",science fiction > military science fiction,https://www.risingshadow.net/library/book/53813-the-queens-assassin
22,A Fire of Ten Thousand Flags,https://www.risingshadow.net//libdb/images/books/thumbs/default.jpg,Aliette de Bodard,"June 9, 2022",science fiction,https://www.risingshadow.net/library/book/56620-a-fire-of-ten-thousand-flags
23,The Storm Beneath a Midnight Sun (Hrimland #2),https://www.risingshadow.net//libdb/images/books/thumbs/56843.jpg,Alexander Dan Vilhjálmsson,"June 14, 2022",fantasy > urban fantasy,https://www.risingshadow.net/library/book/56843-the-storm-beneath-a-midnight-sun
24,Untitled Bacigalupi Book 3,https://www.risingshadow.net//libdb/images/books/thumbs/default.jpg,Paolo Bacigalupi,"June 14, 2022",fantasy,https://www.risingshadow.net/library/book/57786-untitled-bacigalupi-book-3
