,title,img_url,date,tags,available,URL
0,,,,,,
1,Out of the Park Baseball 23,https://cdn.cloudflare.steamstatic.com/steam/apps/1739010/capsule_184x69.jpg?t=1650389559,"Apr 22, 2022","Simulation, Sports, Strategy, Sandbox",,https://store.steampowered.com/app/1739010/Out_of_the_Park_Baseball_23/?snr=1_239_1700__1707_1
2,RATUZ,https://cdn.cloudflare.steamstatic.com/steam/apps/1550840/capsule_184x69.jpg?t=1649899111,"Apr 22, 2022","Horror, Stealth, Difficult, Adventure",,https://store.steampowered.com/app/1550840/RATUZ/?snr=1_239_1700__1707_2
3,TFM: The First Men,https://cdn.cloudflare.steamstatic.com/steam/apps/700820/capsule_184x69.jpg?t=1648656303,Spring 2022,"Early Access, City Builder, Strategy, Simulation",,https://store.steampowered.com/app/700820/TFM_The_First_Men/?snr=1_239_1700__1707_3
4,Traitors in Salem,https://cdn.cloudflare.steamstatic.com/steam/apps/1497640/capsule_184x69.jpg?t=1650509681,Early Access April 22nd,"Early Access, Casual, Social Deduction, PvP",,https://store.steampowered.com/app/1497640/Traitors_in_Salem/?snr=1_239_1700__1707_4
5,Metal Mind,https://cdn.cloudflare.steamstatic.com/steam/apps/1167100/capsule_184x69.jpg?t=1650623966,"Apr 25, 2022","Action Roguelike, Looter Shooter, Tactical RPG, Twin Stick Shooter",,https://store.steampowered.com/app/1167100/Metal_Mind/?snr=1_239_1700__1707_5
6,Ilysia,https://cdn.cloudflare.steamstatic.com/steam/apps/1154120/capsule_184x69.jpg?t=1633453957,Coming Soon,"Action, Adventure, RPG, Massively Multiplayer",,https://store.steampowered.com/app/1154120/Ilysia/?snr=1_239_1700__1707_6
7,Peglin,https://cdn.cloudflare.steamstatic.com/steam/apps/1296610/capsule_184x69.jpg?t=1649265134,"April 25, 2022 (Early Access)","Deckbuilding, Pinball, Roguelite, Perma Death",,https://store.steampowered.com/app/1296610/Peglin/?snr=1_239_1700__1707_7
8,Turbo Overkill,https://cdn.cloudflare.steamstatic.com/steam/apps/1328350/capsule_184x69.jpg?t=1650506113,"April 22, 2022","Action, FPS, Indie, Shooter",,https://store.steampowered.com/app/1328350/Turbo_Overkill/?snr=1_239_1700__1707_8
9,Police Shootout: Prologue,https://cdn.cloudflare.steamstatic.com/steam/apps/1661280/capsule_184x69.jpg?t=1650547477,"26 Apr, 2022","Action, Adventure, Simulation, Sandbox",,https://store.steampowered.com/app/1661280/Police_Shootout_Prologue/?snr=1_239_1700__1707_9
10,Dune: Spice Wars,https://cdn.cloudflare.steamstatic.com/steam/apps/1605220/capsule_184x69.jpg?t=1650459693,"Apr 26, 2022","Diplomacy, Economy, Political, Building",,https://store.steampowered.com/app/1605220/Dune_Spice_Wars/?snr=1_239_1700__1707_10
11,The Serpent Rogue,https://cdn.cloudflare.steamstatic.com/steam/apps/1453790/capsule_184x69.jpg?t=1649417619,"26 Apr, 2022","Crafting, Adventure, Action-Adventure, Singleplayer",,https://store.steampowered.com/app/1453790/The_Serpent_Rogue/?snr=1_239_1700__1707_11
12,Crossfire: Legion,https://cdn.cloudflare.steamstatic.com/steam/apps/1072190/capsule_184x69.jpg?t=1650380343,"24 May, 2022","Early Access, Strategy, RTS, PvP",,https://store.steampowered.com/app/1072190/Crossfire_Legion/?snr=1_239_1700__1707_12
13,Holomento,https://cdn.cloudflare.steamstatic.com/steam/apps/721700/capsule_184x69.jpg?t=1650570247,2022,"Action Roguelike, Third-Person Shooter, Indie, Action",,https://store.steampowered.com/app/721700/Holomento/?snr=1_239_1700__1707_13
14,Romans: Age of Caesar,https://cdn.cloudflare.steamstatic.com/steam/apps/872570/capsule_184x69.jpg?t=1649269096,"Apr 27, 2022","Strategy, Massively Multiplayer, Free to Play, Simulation",,https://store.steampowered.com/app/872570/Romans_Age_of_Caesar/?snr=1_239_1700__1707_14
15,Ultra Age,https://cdn.cloudflare.steamstatic.com/steam/apps/1683100/capsule_184x69.jpg?t=1650551726,"Apr 27, 2022","Action, Adventure, Action-Adventure, Third Person",,https://store.steampowered.com/app/1683100/Ultra_Age/?snr=1_239_1700__1707_15
16,The Stanley Parable: Ultra Deluxe,https://cdn.cloudflare.steamstatic.com/steam/apps/1703340/capsule_184x69.jpg?t=1649237939,"Apr 27, 2022","Comedy, Multiple Endings, Walking Simulator, Choices Matter",,https://store.steampowered.com/app/1703340/The_Stanley_Parable_Ultra_Deluxe/?snr=1_239_1700__1707_16
