,title,img_url,date,rating,score,description
0,The Bad Guys,https://static.metacritic.com/images/products/movies/8/78a54581e1ba80610c90d829fabe7573-98.jpg,"April 22, 2022 ", PG,61,"Never have there been five friends as infamous as The Bad Guys—dashing pickpocket Mr. Wolf (Sam Rockwell), seen-it-all safecracker Mr. Snake (Marc Maron), chill master-of-disguise Mr. Shark (Craig Robinson), short-fused “muscle” Mr. Piranha (Anthony Ramos) and sharp-tongued expert hacker Ms. Tarantula (Awkwafina), aka “Webs.” But when, after years of countless heists and being the world’s most-wanted villains, the gang is finally caught, Mr. Wolf brokers a deal (that he has no intention of keeping) to save them all from prison: The Bad Guys will go good. Under the tutelage of their mentor Professor Marmalade (Richard Ayoade), an arrogant (but adorable!) guinea pig, The Bad Guys set out to fool the world that they’ve been transformed. Along the way, though, Mr. Wolf begins to suspect that doing good for real may give him what he’s always secretly longed for: acceptance. So when a new villain threatens the city, can Mr. Wolf persuade the rest of the gang to become … The Good Guys?"
1,,,,,,
2,The Northman,https://static.metacritic.com/images/products/movies/1/80abf0de4ee732091411aa8125630c27-98.jpg,"April 22, 2022 ", R,83,"From visionary director Robert Eggers comes The Northman, an action-filled epic that follows a young Viking prince on his quest to avenge his father’s murder. With an all-star cast that includes Alexander Skarsgård, Nicole Kidman, Claes Bang, Anya Taylor-Joy, Ethan Hawke, Björk, and Willem Dafoe."
3,,,,,,
4,The Unbearable Weight of Massive Talent,https://static.metacritic.com/images/products/movies/1/ef3812394ab607fc6967fceb1498a410-98.jpg,"April 22, 2022 ", Not Rated,67,"Creatively unfulfilled and facing financial ruin, the fictionalized version of Nicolas Cage must accept a $1 million offer to attend the birthday of a dangerous superfan (Pedro Pascal). Things take a wildly unexpected turn when Cage is recruited by a CIA operative (Tiffany Haddish) and forced to live up to his own legend, channeling his most iconic and beloved on-screen characters in order to save himself and his loved ones. With a career built for this very moment, the seminal award-winning actor must take on the role of a lifetime: Nick Cage."
5,,,,,,
6,9 Bullets,https://static.metacritic.com/images/products/movies/7/2d408cadf9f5248c0ccf7c637603f8de-98.jpg,"April 22, 2022 ", Not Rated,tbd,"A former burlesque dancer turned author (Lena Headey) discovers a second chance at life and redemption when she risks everything to rescue her young neighbor after he witnesses his parents’ murder. Now on the run from the local crime boss (Sam Worthington), who happens to be her longtime ex, she makes a desperate attempt to get the boy to safety."
7,,,,,,
8,Charlotte,https://static.metacritic.com/images/products/movies/7/582b6c5c9cda13bbd552baadb7ff0115-98.jpg,"April 22, 2022 ", Not Rated,59,"Charlotte is an animated drama that tells the true story of Charlotte Salomon, a young German-Jewish painter who comes of age in Berlin on the eve of the Second World War. Fiercely imaginative and deeply gifted, she dreams of becoming an artist. Her first love applauds her talent, which emboldens her resolve. But the world around her is changing quickly and dangerously, limiting her options and derailing her dream. When anti-Semitic policies inspire violent mobs, she leaves Berlin for the safety of the South of France. There she begins to paint again, and finds new love. But her work is interrupted, this time by a family tragedy that reveals an even darker secret. Believing that only the extraordinary will save her, she embarks on the monumental adventure of painting her life story."
9,,,,,,
