,title,img_url,date,rating,score,description
0,Doctor Strange in the Multiverse of Madness,https://static.metacritic.com/images/products/movies/1/f4657b8701d6f6ef1989a479d4cb5e7f-98.jpg ,2022-05-06, PG-13,tbd,The Multiverse is a concept about which we know frighteningly little.
1,Happening,https://static.metacritic.com/images/products/movies/4/2cbc152436f4b873eadae2491a9cf0f7-98.jpg ,2022-05-06, R,84,"France, 1963. Anne is a bright young student with a promising future ahead of her. But when she falls pregnant, she sees the opportunity to finish her studies and escape the constraints of her social background disappearing. With her final exams fast approaching and her belly growing, Anne resolves to act, even if she has to confront shame and pain, even if she must risk prison to do so."
2,In Front of Your Face,https://static.metacritic.com/images/products/movies/1/f6aca418158811c4c5917d0323429a33-98.jpg ,2022-05-06, Not Rated,93,"After years living abroad, former actress Sangok (Lee Hyeyoung) is back in Seoul, staying with her sister Jeongok (Cho Yunhee) in her high-rise apartment. The siblings sleep late, have breakfast in a cafe and visit a restaurant owned by Jeongok's son. But as the details of Sangok's day accrue (a spill on her blouse, an encounter at her childhood home), it becomes clear that there is much she is not revealing. And these mysterious circumstances have something to do with her decision to meet with film director Jaewon (Kwon Haehyo) to discuss her return to acting."
3,Operation Mincemeat,https://static.metacritic.com/images/products/movies/7/aa3801e4f391e9cec8132664942d8e00-98.jpg ,2022-05-06, PG-13,59,"It’s 1943. The Allies are determined to break Hitler’s grip on occupied Europe, and plan to launch an all-out assault on Sicily; but they face an impossible challenge - how to protect the invasion force from potential annihilation. It falls to two remarkable intelligence officers, Ewen Montagu (Colin Firth) and Charles Cholmondeley (Matthew Macfadyen) to dream the most inspired and improbable disinformation strategy of the war - centered on the most unlikely of secret agents: a dead man. [Netflix]"
4,Panda! Go Panda! (1972),https://static.metacritic.com/images/products/movies/3/f2943b41f953471311b0275b7901a02d-98.jpg ,2022-05-06, TV-Y7-FV,tbd,"Mimiko is a cheerful young girl who is left on her own while her grandmother is away. When little Panny Panda and his father Papanda stumble into her home, Mimiko welcomes them in as her new family. Adventures ensue as Mimiko discovers the challenges of taking care of her new cuddly friends."
5,The Ravine,https://static.metacritic.com/images/products/movies/1/97a896688d2388b840ebbb542ac77f00-98.jpg ,2022-05-06, R,tbd,"When an unspeakable crime rocks a peaceful community, family and friends are left to wonder if they overlooked the murderer among them or if there might be more to the story. Inspired by true events."
6,Shepherd,https://static.metacritic.com/images/products/movies/0/b290f433d32546758fa1e7aef1a8f9ee-98.jpg ,2022-05-06, Not Rated,tbd,"Haunted by the recent death of his wife, widower Eric Black (Tom Hughes) seeks solitude as a shepherd on a remote Scottish island. As the bleak desolation of the foreboding landscape and terrifying visions begin to overwhelm him, Eric is pushed to the brink of madness."
7,The Twin,https://static.metacritic.com/images/products/movies/9/cdfa8a832674209c43a2a814a85d17eb-98.jpg ,2022-05-06, Not Rated,tbd,"In The Twin, following the aftermath of a tragic accident that claimed the life of one of their twins, Rachel (Teresa Palmer) and husband Anthony (Steven Cree) relocate to the other side of the world with their surviving son in the hopes of building a new life. What begins as a time of healing in the quiet Scandinavian countryside soon takes an ominous turn when Rachel begins to unravel the torturous truth about her son and confronts the malicious forces attempting to take a hold of him."
8,This Much I Know to Be True,https://static.metacritic.com/images/products/movies/9/a8b85131b69f5f031762f301d6a5d484-98.jpg ,2022-05-11, Not Rated,84,"Explores the creative relationship and songs from Nick Cave and Warren Ellis' last two studio albums, ""Ghosteen"" and ""Carnage""."
9,Family Camp,https://static.metacritic.com/images/products/movies/98w-movie.jpg ,2022-05-13, PG,tbd,"When their pastor encourages the congregation to sign-up for a week away at family camp, Grace (Leigh-Allyn Baker) believes she’s found the perfect cure for her imperfect clan—even if they’d all rather be anywhere but at rustic Camp Katokwah."
10,Firestarter,https://static.metacritic.com/images/products/movies/4/7b8d56da7e4da77d2237a5839bc73bce-98.jpg ,2022-05-13, R,tbd,"For more than a decade, parents Andy (Zac Efron) and Vicky (Sydney Lemmon) have been on the run, desperate to hide their daughter Charlie (Ryan Kiera Armstrong) from a shadowy federal agency that wants to harness her unprecedented gift for creating fire into a weapon of mass destruction. Andy has taught Charlie how to defuse her power, which is triggered by anger or pain. But as Charlie turns 11, the fire becomes harder and harder to control. After an incident reveals the family’s location, a mysterious operative (Michael Greyeyes) is deployed to hunt down the family and seize Charlie once and for all. Charlie has other plans."
11,Homebound,https://static.metacritic.com/images/products/movies/4/dece9f3efab52c5e3ebed6d2445610fa-98.jpg ,2022-05-13, Not Rated,tbd,A trip to the countryside turns out to be far from idyllic for a father and his new fiancée when his kids decide the house is a little too crowded.
12,Il Buco,https://static.metacritic.com/images/products/movies/6/d43dc93a1d602ef31df2740369ed035c-98.jpg ,2022-05-13, Not Rated,69,"During the economic boom of the 1960s, Europe’s highest building is being built in Italy’s prosperous North. At the other end of the country, young speleologists explore Europe’s deepest cave in the untouched Calabrian hinterland. The bottom of the Bifurto Abyss, 700 meters below Earth, is reached for the first time. The intruders’ venture goes unnoticed by the inhabitants of a small neighboring village, but not by the old shepherd of the Pollino plateau whose solitary life begins to interweave with the group’s journey."
13,The Innocents,https://static.metacritic.com/images/products/movies/8/c39b46b4cad8e9f183c9ee7bd70edb01-98.jpg ,2022-05-13, NR,74,"Four children become friends during the bright Nordic summer. Out of sight of the adults, they discover they have hidden powers. While exploring their newfound abilities in the nearby forests and playgrounds, their innocent play takes a dark turn and strange things begin to happen."
14,Jazz Fest: A New Orleans Story,https://static.metacritic.com/images/products/movies/4/c52c1048e40fc8ff573de4b7e3f1a43f-98.jpg ,2022-05-13, PG-13,tbd,"The New Orleans Jazz & Heritage Festival presented by Shell, aka “Jazz Fest,” is the signature annual music and cultural event of the city and has been called America’s greatest festival. Celebrating the music, food, and arts and crafts of all of Louisiana since 1970, Jazz Fest is an essential showcase of the rich heritage of the region, and hundreds of thousands attend the event each year. Local music heroes are joined on 14 stages by some of the most important figures in entertainment, highlighting the connections between Louisiana culture and the world. Jazz Fest: A New Orleans Story weaves together live performances and interviews from the 50th anniversary of the iconic festival, featuring some of the biggest names in the music industry, along with a wealth of archival documentary footage from the past half century. This film not only captures the Festival in all of its beauty and glory, but also delves deep into the rich culture of The Big Easy."
15,Montana Story,https://static.metacritic.com/images/products/movies/0/23211a82a726786bdf61d66f6ac89101-98.jpg ,2022-05-13, R,78,"Two estranged siblings (Haley Lu Richardson, Owen Teague) return home to the sprawling ranch they once knew and loved, confronting a deep and bitter family legacy against a mythic American backdrop."
16,On the Count of Three,https://static.metacritic.com/images/products/movies/6/0ec523080bba2a90ac17b4cb7d0ccce1-98.jpg ,2022-05-13, Not Rated,73,"Val (Jerrod Carmichael) has reached a place where he feels the only way out is to end things. But he considers himself a bit of a failure—his effectiveness lacking—so he figures he could use some help. As luck would have it, Val’s best friend, Kevin (Christopher Abbott), is recovering from a failed suicide attempt, so he seems like the perfect partner for executing this double suicide plan. But before they go, they have some unfinished business to attend to. [Sundance]"
17,Pleasure,https://static.metacritic.com/images/products/movies/2/9b2655b9529e515ff752884206ef6706-98.jpg ,2022-05-13, Unrated,74,"Ninja Thyberg’s debut feature film is a journey into the Los Angeles porn industry through the lens of newcomer Bella Cherry (Sofia Kappel). Strong, self-confident and determined, Bella embarks on amission to become the best at any cost."
18,Emergency,https://static.metacritic.com/images/products/movies/7/4e3806af4718f0d223e6966ea8375b2c-98.jpg ,2022-05-20, Not Rated,71,"Kunle (Donald Elise Watkins) and his best friend, Sean (RJ Cyler), are both seniors in college about to embark on an epic night of Spring Break parties. Sean has the whole night planned out, including every party they will hit on their “legendary tour.” Kunle is down, yet mostly concerned with finishing up his mold experiment in his lab, as his acceptance to Princeton is hinging on the results. They return to their apartment to pre-game, yet find that their roommate, Carlos (Sebastian Chacon), left the door open. As they enter with trepidation, Sean and Kunle discover a drunk, semi-conscious White female they don’t know on the floor and an oblivious Carlos, who didn’t hear her come in over the videogame blaring in his ears. Kunle wants to call the cops but Sean vehemently opposes the idea concerned how it will look when the cops show up (two Black men, one Latino man and a passed out White woman). Together, Carlos, Sean and Kunle load the girl - who they nickname Goldilocks, but whose real name is Emma (Maddie Nichols) - into Sean’s van, with the intention of taking her somewhere safe rather than calling the police. Meanwhile, Emma’s sister, Maddy (Sabrina Carpenter), has realized that Emma left the party they were at, and begins to search for her in a drunk panic using Emma’s phone’s location. What ensues is a chaotic, hilarious, and tension- filled chase all over town as our trio grapples with their differences while attempting to bring Emma to safety."
19,Fire in the Mountains,https://static.metacritic.com/images/products/movies/5/a9a8fefccf13cb7deb3cc002bf3428ac-98.jpg ,2022-05-20, Not Rated,tbd,"A mother toils to save money to build a road in a Himalayan village to take her wheelchair-bound son for physiotherapy but her husband who believes that a shamanic ritual 'Jaagar' is the remedy, steals her savings."
20,Men,https://static.metacritic.com/images/products/movies/2/3c27c1461f2e12c21a5fcf63ad2ea332-98.jpg ,2022-05-20, R,tbd,"In the aftermath of a personal tragedy, Harper (Jessie Buckley) retreats alone to the beautiful English countryside, hoping to have found a place to heal. But someone or something from the surrounding woods appears to be stalking her. What begins as simmering dread becomes a fully-formed nightmare, inhabited by her darkest memories and fears."
21,The Bob's Burgers Movie,https://static.metacritic.com/images/products/movies/6/f572db0266262683dd59e87050ef3f32-98.jpg ,2022-05-27, TV-14,tbd,"The story begins when a ruptured water main creates an enormous sinkhole right in front of Bob's Burgers, blocking the entrance indefinitely and ruining the Belchers’ plans for a successful summer. While Bob and Linda struggle to keep the business afloat, the kids try to solve a mystery that could save their family's restaurant. As the dangers mount, these underdogs help each other find hope and fight to get back behind the counter, where they belong."
